"","logFC","logCPM","PValue","FDR"
"ENSG00000083814",-1.07975202550392,1.20179187739063,1.72003972787629e-05,0.000102571751611113
"ENSG00000149150",-1.11220775163454,2.58263372744005,1.72964272950473e-05,0.000103122300612465
"ENSG00000132382",0.670182021894366,5.98071130855879,1.73043180849744e-05,0.000103147235083025
"ENSG00000158773",0.806776879684908,5.83950432738995,1.73498049289296e-05,0.000103396212660879
"ENSG00000261061",0.95201338730368,2.37940692910726,1.74054884858003e-05,0.000103705837886796
"ENSG00000163156",0.723455285269128,4.67742643402334,1.74665354298968e-05,0.000104024999981096
"ENSG00000237945",1.35644793254831,3.09594892798712,1.7475252862783e-05,0.00010405463666722
"ENSG00000182057",1.12822699479319,-1.30277924293935,1.75124634642508e-05,0.000104253884060618
"ENSG00000125821",0.754879345408541,4.79572989854084,1.75374741236619e-05,0.000104380433939955
"ENSG00000148300",0.608214081209233,4.68426600656144,1.75900275787877e-05,0.000104670825213697
"ENSG00000229876",4.93245838678923,-2.20010835723813,1.76164909794228e-05,0.000104805874569131
"ENSG00000251365",2.64092907185906,-3.96851208908024,1.76493917740055e-05,0.000104962317029315
"ENSG00000130706",0.598436536423553,6.72457730978987,1.76503346185635e-05,0.000104962317029315
"ENSG00000145555",1.44249026939868,5.60116240616312,1.76792523104934e-05,0.000105111809429618
"ENSG00000162129",0.93003119843064,3.96371647916448,1.76889013781169e-05,0.000105146701010807
"ENSG00000183087",-1.29588623745215,6.2620005272355,1.77000260676379e-05,0.000105190347226328
"ENSG00000112812",1.3392237736896,3.3893064144544,1.77452300976514e-05,0.000105436463299717
"ENSG00000253123",-1.27919375469698,-1.23648285094477,1.78126831934232e-05,0.000105814642814754
"ENSG00000233493",1.47382089245599,2.43939501992108,1.78204883313394e-05,0.000105838403151728
"ENSG00000235257",-0.848706782287348,0.711866184063441,1.78397369786243e-05,0.000105930103455695
"ENSG00000163331",-2.31065927483478,2.02985193997756,1.78550608220588e-05,0.000105998464598489
"ENSG00000188010",0.765101215302561,3.23968113448206,1.79237300612263e-05,0.000106383419588751
"ENSG00000213030",6.93729761385772,-0.580403624264576,1.80353917649141e-05,0.000107023330735557
"ENSG00000227992",1.56353230610506,-2.17865646141982,1.80662451147322e-05,0.000107183548501717
"ENSG00000181924",0.637709310395999,5.28992316913997,1.80740920154964e-05,0.000107207234213479
"ENSG00000137309",1.16646701123779,7.98643275415898,1.81198135262783e-05,0.000107455516760422
"ENSG00000185972",-1.59120686036012,-2.51453784843846,1.81551373445045e-05,0.000107642045398146
"ENSG00000135406",-1.84936285795624,-2.32374431910452,1.81731744809778e-05,0.00010772602340994
"ENSG00000155011",2.31565241172256,0.808443370725478,1.82074261384845e-05,0.000107906060769161
"ENSG00000033327",-0.920635629535435,3.92258122043377,1.82983382298846e-05,0.000108421747163992
"ENSG00000250133",2.69684280465095,-1.63249094147115,1.83469687797405e-05,0.000108686739653018
"ENSG00000167371",-1.17025838936668,0.626719299300425,1.83694777620497e-05,0.000108796909070675
"ENSG00000075643",1.01877158671875,4.12814310678016,1.84001247424063e-05,0.000108948538687749
"ENSG00000143368",0.599189033508352,6.45103811402764,1.84029135567916e-05,0.000108948538687749
"ENSG00000141428",0.602494645873566,3.42948095804318,1.84080258606231e-05,0.000108955612526391
"ENSG00000261582",-1.11819791677056,-2.88985481513557,1.84185207413891e-05,0.00010899453561282
"ENSG00000248693",2.39290656182257,-3.27508904374324,1.84906275713146e-05,0.000109374696861117
"ENSG00000171552",0.862489835426388,6.62699157104762,1.8590916816028e-05,0.000109944539528851
"ENSG00000236423",1.85295642477495,-0.711189495444057,1.86587184205579e-05,0.000110322052600123
"ENSG00000266412",-0.58522248018334,6.68707284084198,1.87041718318016e-05,0.000110567296739192
"ENSG00000107560",-0.873704705988781,3.50230176565008,1.87426641130758e-05,0.000110771295575218
"ENSG00000116017",1.95531608138291,4.27378547351089,1.87524564204407e-05,0.000110805623629003
"ENSG00000231464",2.15465057425606,-2.58204491132984,1.87710514283589e-05,0.000110891939969615
"ENSG00000088386",2.58676347884491,3.33266883793578,1.8804447463356e-05,0.000111065639689599
"ENSG00000188372",1.30106003510326,2.35890949264077,1.88085113680626e-05,0.000111066056619942
"ENSG00000140948",-0.546059963952225,4.52564926879353,1.88239634104413e-05,0.000111133707139589
"ENSG00000177943",1.22705048860314,2.70131357210042,1.88720544356063e-05,0.000111393983450237
"ENSG00000279667",1.88642430054746,-3.04363358495569,1.90645951791322e-05,0.000112506595738851
"ENSG00000179776",-0.961091577474792,4.1903092664335,1.90904204701346e-05,0.000112635100665221
"ENSG00000155714",-1.19141715728333,-3.71329898228151,1.91156601334431e-05,0.000112760096562344
"ENSG00000267308",3.784576599409,-0.46672201591241,1.91597795475269e-05,0.00011299638434168
"ENSG00000231889",-0.66555619098444,0.390850599115941,1.91747880813328e-05,0.000113060924508397
