ENSG00000215022	RP1-257A7.4
ENSG00000215039	CD27-AS1
ENSG00000215067	AC027763.2
ENSG00000215068	AC025171.1
ENSG00000215112	FAM74A1
ENSG00000215162	LINC00269
ENSG00000215196	AC091878.1
ENSG00000215231	LINC01020
ENSG00000215241	RP11-266K4.9
ENSG00000215244	RP11-563J2.2
ENSG00000215246	RP11-43F13.3
ENSG00000215256	DHRS4-AS1
ENSG00000215374	FAM66B
ENSG00000215386	MIR99AHG
ENSG00000215403	LL22NC01-81G9.3
ENSG00000215417	MIR17HG
ENSG00000215424	MCM3AP-AS1
ENSG00000215458	AP001053.11
ENSG00000215483	LINC00598
ENSG00000215498	FAM230B
ENSG00000215560	TTTY5
ENSG00000215769	MIR6080
ENSG00000215808	LINC01139
ENSG00000215866	LINC01356
ENSG00000216560	LINC00955
ENSG00000216863	LY86-AS1
ENSG00000216895	AC009403.2
ENSG00000217455	AC091801.1
ENSG00000217576	RP11-248G5.8
ENSG00000217702	RP11-287D1.4
ENSG00000218109	KIRREL3-AS3
ENSG00000218357	LL22NC03-75H12.2
ENSG00000218416	PP14571
ENSG00000218510	LINC00339
ENSG00000218537	MIF-AS1
ENSG00000218672	AC008060.7
ENSG00000218839	FAM138C
ENSG00000219159	AC011298.2
ENSG00000219410	RP4-761J14.8
ENSG00000219445	RP11-3B12.3
ENSG00000219665	CTD-2006C1.2
ENSG00000220161	FLJ35934
ENSG00000220256	AC093802.1
ENSG00000220702	RP1-32I10.10
ENSG00000220891	LL22NC03-63E9.3
ENSG00000221571	RNU6ATAC35P
ENSG00000221817	PPP3CB-AS1
ENSG00000221819	C16orf3
ENSG00000221949	LINC01465
ENSG00000222000	AC092675.3
ENSG00000222001	AC106876.2
ENSG00000222005	LINC01118
ENSG00000222012	AC005481.5
ENSG00000222017	AC011997.1
ENSG00000222030	AC007131.1
ENSG00000222033	LINC01124
ENSG00000222035	AC079354.3
ENSG00000222041	LINC00152
ENSG00000222044	RP5-1039K5.16
ENSG00000223342	RP3-429O6.1
ENSG00000223358	EHHADH-AS1
ENSG00000223381	RP11-655H13.2
ENSG00000223382	RP1-65J11.1
ENSG00000223387	RP11-408H1.3
ENSG00000223392	CLDN10-AS1
ENSG00000223403	MEG9
ENSG00000223432	RP11-62L18.3
ENSG00000223438	RP1-171K16.5
ENSG00000223440	RP11-555J4.4
ENSG00000223442	AC004041.2
ENSG00000223466	AC064834.2
ENSG00000223470	RP11-490O24.2
ENSG00000223479	RP4-788P17.1
ENSG00000223482	NUTM2A-AS1
ENSG00000223486	AC092198.1
ENSG00000223492	RP11-15M15.1
ENSG00000223517	AC010723.1
ENSG00000223522	AC093690.1
ENSG00000223523	AC079613.1
ENSG00000223525	RABGAP1L-IT1
ENSG00000223528	RP11-223P11.3
ENSG00000223536	AC008069.1
ENSG00000223542	RP1-283K11.3
ENSG00000223546	LINC00630
ENSG00000223561	AC003090.1
