"","pandri1","pandri2","pandri5","pandri7","pandri10"
"94","ENSG00000234912","ENSG00000258957","ENSG00000239219","ENSG00000223482",NA
"95","ENSG00000235139","ENSG00000259498","ENSG00000240859","ENSG00000225484",NA
"96","ENSG00000235257","ENSG00000259642","ENSG00000241684","ENSG00000230551",NA
"97","ENSG00000235298","ENSG00000259768","ENSG00000241860","ENSG00000231764",NA
"98","ENSG00000235381","ENSG00000259994","ENSG00000242125","ENSG00000235531",NA
"99","ENSG00000235513","ENSG00000260063","ENSG00000245750","ENSG00000250508",NA
"100","ENSG00000235527","ENSG00000260686","ENSG00000245904","ENSG00000250790",NA
"101","ENSG00000235609","ENSG00000260743","ENSG00000246339","ENSG00000259820",NA
"102","ENSG00000236318","ENSG00000260852","ENSG00000248092","ENSG00000260034",NA
"103","ENSG00000236772","ENSG00000261026","ENSG00000248323","ENSG00000224086",NA
"104","ENSG00000236810","ENSG00000261067","ENSG00000248429","ENSG00000235954",NA
"105","ENSG00000236841","ENSG00000261087","ENSG00000248858","ENSG00000244879",NA
"106","ENSG00000236859","ENSG00000261159","ENSG00000249673","ENSG00000257621",NA
"107","ENSG00000237054","ENSG00000261188","ENSG00000256546","ENSG00000258441",NA
"108","ENSG00000237101","ENSG00000261211","ENSG00000257167","ENSG00000259943",NA
"109","ENSG00000237484","ENSG00000261777","ENSG00000258301","ENSG00000260966",NA
"110","ENSG00000237505","ENSG00000263276","ENSG00000152931","ENSG00000203709",NA
"111","ENSG00000238121","ENSG00000267053","ENSG00000176593","ENSG00000204054",NA
"112","ENSG00000239332","ENSG00000267106","ENSG00000186019","ENSG00000215424",NA
"113","ENSG00000240996","ENSG00000267288","ENSG00000206567","ENSG00000228794",NA
"114","ENSG00000241886","ENSG00000268713","ENSG00000214049","ENSG00000234456",NA
"115","ENSG00000242512","ENSG00000269821","ENSG00000214145","ENSG00000247556",NA
"116","ENSG00000243081","ENSG00000272077","ENSG00000224660","ENSG00000251562",NA
"117","ENSG00000243701","ENSG00000272482","ENSG00000228315","ENSG00000261654",NA
"118","ENSG00000244479","ENSG00000272505","ENSG00000228549",NA,NA
"119","ENSG00000244649","ENSG00000272610","ENSG00000229619",NA,NA
"120","ENSG00000244968","ENSG00000273373","ENSG00000230615",NA,NA
"121","ENSG00000245025","ENSG00000274964","ENSG00000234608",NA,NA
"122","ENSG00000245146","ENSG00000275481","ENSG00000236901",NA,NA
"123","ENSG00000245164","ENSG00000276248","ENSG00000241158",NA,NA
"124","ENSG00000245910","ENSG00000276272","ENSG00000245149",NA,NA
"125","ENSG00000245954","ENSG00000276809","ENSG00000247373",NA,NA
"126","ENSG00000246022","ENSG00000278730","ENSG00000250742",NA,NA
"127","ENSG00000246130","ENSG00000177337","ENSG00000255036",NA,NA
"128","ENSG00000246174","ENSG00000177406","ENSG00000257337",NA,NA
"129","ENSG00000246250","ENSG00000182366","ENSG00000259583",NA,NA
"130","ENSG00000246548","ENSG00000185065","ENSG00000093100",NA,NA
"131","ENSG00000246640","ENSG00000187621","ENSG00000196756",NA,NA
"132","ENSG00000246889","ENSG00000189238","ENSG00000226688",NA,NA
"133","ENSG00000246985","ENSG00000196741","ENSG00000228434",NA,NA
"134","ENSG00000247240","ENSG00000197332","ENSG00000228624",NA,NA
"135","ENSG00000247498","ENSG00000214783","ENSG00000232931",NA,NA
"136","ENSG00000247675","ENSG00000218416","ENSG00000234899",NA,NA
"137","ENSG00000247708","ENSG00000223764","ENSG00000235437",NA,NA
"138","ENSG00000247903","ENSG00000223768","ENSG00000235703",NA,NA
"139","ENSG00000248008","ENSG00000224023","ENSG00000235770",NA,NA
"140","ENSG00000248049","ENSG00000224165","ENSG00000240498",NA,NA
"141","ENSG00000248275","ENSG00000224713","ENSG00000242516",NA,NA
"142","ENSG00000248890","ENSG00000225792","ENSG00000249042",NA,NA
"143","ENSG00000249087","ENSG00000227066","ENSG00000249669",NA,NA
"144","ENSG00000249267","ENSG00000227733","ENSG00000253284",NA,NA
"145","ENSG00000249279","ENSG00000228630","ENSG00000253738",NA,NA
"146","ENSG00000249364","ENSG00000228801","ENSG00000259953",NA,NA
"147","ENSG00000249395","ENSG00000229587","ENSG00000268205",NA,NA
"148","ENSG00000249476","ENSG00000229589","ENSG00000274173",NA,NA
"149","ENSG00000249631","ENSG00000229719","ENSG00000280383",NA,NA
"150","ENSG00000249635","ENSG00000230061","ENSG00000177640",NA,NA
"151","ENSG00000249695","ENSG00000230091","ENSG00000204860",NA,NA
"152","ENSG00000250072","ENSG00000230461","ENSG00000212694",NA,NA
"153","ENSG00000250132","ENSG00000232021","ENSG00000224189",NA,NA
"154","ENSG00000250295","ENSG00000232104","ENSG00000225733",NA,NA
"155","ENSG00000250387","ENSG00000232973","ENSG00000226816",NA,NA
"156","ENSG00000250397","ENSG00000233006","ENSG00000231064",NA,NA
"157","ENSG00000251002","ENSG00000233393","ENSG00000231312",NA,NA
"158","ENSG00000251095","ENSG00000233593","ENSG00000231607",NA,NA
"159","ENSG00000251143","ENSG00000234684","ENSG00000247572",NA,NA
"160","ENSG00000251867","ENSG00000234869","ENSG00000247828",NA,NA
"161","ENSG00000253636","ENSG00000235560","ENSG00000249592",NA,NA
"162","ENSG00000253706","ENSG00000235831","ENSG00000256028",NA,NA
"163","ENSG00000253716","ENSG00000235897","ENSG00000258701",NA,NA
"164","ENSG00000253741","ENSG00000236333","ENSG00000259976",NA,NA
"165","ENSG00000253854","ENSG00000236830","ENSG00000260032",NA,NA
"166","ENSG00000254109","ENSG00000238133","ENSG00000177822",NA,NA
"167","ENSG00000254154","ENSG00000238266","ENSG00000228223",NA,NA
"168","ENSG00000254837","ENSG00000239569","ENSG00000232677",NA,NA
"169","ENSG00000255043","ENSG00000240875","ENSG00000234072",NA,NA
"170","ENSG00000255733","ENSG00000240990","ENSG00000237187",NA,NA
"171","ENSG00000256128","ENSG00000241388","ENSG00000238113",NA,NA
"172","ENSG00000256155","ENSG00000243004","ENSG00000249859",NA,NA
"173","ENSG00000257060","ENSG00000243155","ENSG00000251136",NA,NA
"174","ENSG00000257453","ENSG00000245017","ENSG00000260244",NA,NA
"175","ENSG00000257698","ENSG00000246090","ENSG00000261824",NA,NA
"176","ENSG00000257815","ENSG00000246695","ENSG00000179406",NA,NA
"177","ENSG00000258057","ENSG00000246792","ENSG00000185904",NA,NA
"178","ENSG00000258082","ENSG00000247137","ENSG00000189223",NA,NA
"179","ENSG00000258457","ENSG00000248265","ENSG00000223482",NA,NA
"180","ENSG00000258476","ENSG00000248671","ENSG00000225484",NA,NA
"181","ENSG00000258655","ENSG00000249464","ENSG00000230551",NA,NA
"182","ENSG00000258867","ENSG00000250033","ENSG00000231764",NA,NA
"183","ENSG00000259091","ENSG00000250548","ENSG00000235531",NA,NA
"184","ENSG00000259275","ENSG00000250899","ENSG00000250508",NA,NA
"185","ENSG00000259408","ENSG00000250903","ENSG00000250790",NA,NA
"186","ENSG00000259663","ENSG00000250988","ENSG00000259820",NA,NA
"187","ENSG00000259877","ENSG00000251151","ENSG00000260034",NA,NA
"188","ENSG00000260196","ENSG00000251381","ENSG00000224086",NA,NA
"189","ENSG00000260209","ENSG00000251396","ENSG00000235954",NA,NA
"190","ENSG00000260231","ENSG00000253125","ENSG00000244879",NA,NA
