"","non-drivers"
"514","ENSG00000224717"
"515","ENSG00000224718"
"516","ENSG00000224721"
"517","ENSG00000224729"
"518","ENSG00000224733"
"519","ENSG00000224743"
"520","ENSG00000224745"
"521","ENSG00000224750"
"522","ENSG00000224765"
"523","ENSG00000224771"
"524","ENSG00000224794"
"525","ENSG00000224799"
"526","ENSG00000224810"
"527","ENSG00000224812"
"528","ENSG00000224817"
"529","ENSG00000224819"
"530","ENSG00000224821"
"531","ENSG00000224822"
"532","ENSG00000224832"
"533","ENSG00000224842"
"534","ENSG00000224843"
"535","ENSG00000224844"
"536","ENSG00000224853"
"537","ENSG00000224857"
"538","ENSG00000224863"
"539","ENSG00000224865"
"540","ENSG00000224875"
"541","ENSG00000224888"
"542","ENSG00000224899"
"543","ENSG00000224901"
"544","ENSG00000224905"
"545","ENSG00000224914"
"546","ENSG00000224924"
"547","ENSG00000224932"
"548","ENSG00000224933"
"549","ENSG00000224934"
"550","ENSG00000224939"
"551","ENSG00000224950"
"552","ENSG00000224957"
"553","ENSG00000224973"
"554","ENSG00000224989"
"555","ENSG00000224995"
"556","ENSG00000225012"
"557","ENSG00000225028"
"558","ENSG00000225032"
"559","ENSG00000225057"
"560","ENSG00000225063"
"561","ENSG00000225064"
"562","ENSG00000225077"
"563","ENSG00000225083"
"564","ENSG00000225084"
"565","ENSG00000225085"
"566","ENSG00000225092"
"567","ENSG00000225106"
"568","ENSG00000225113"
"569","ENSG00000225127"
"570","ENSG00000225128"
"571","ENSG00000225146"
"572","ENSG00000225148"
"573","ENSG00000225152"
"574","ENSG00000225156"
"575","ENSG00000225172"
"576","ENSG00000225173"
"577","ENSG00000225174"
"578","ENSG00000225177"
"579","ENSG00000225179"
"580","ENSG00000225194"
"581","ENSG00000225203"
"582","ENSG00000225205"
"583","ENSG00000225206"
"584","ENSG00000225208"
"585","ENSG00000225226"
"586","ENSG00000225230"
"587","ENSG00000225231"
"588","ENSG00000225243"
"589","ENSG00000225265"
"590","ENSG00000225269"
"591","ENSG00000225280"
"592","ENSG00000225300"
"593","ENSG00000225313"
"594","ENSG00000225316"
"595","ENSG00000225325"
"596","ENSG00000225329"
"597","ENSG00000225335"
"598","ENSG00000225339"
"599","ENSG00000225342"
"600","ENSG00000225359"
"601","ENSG00000225361"
"602","ENSG00000225376"
"603","ENSG00000225377"
"604","ENSG00000225378"
"605","ENSG00000225383"
"606","ENSG00000225391"
"607","ENSG00000225393"
"608","ENSG00000225420"
"609","ENSG00000225421"
"610","ENSG00000225437"
"611","ENSG00000225446"
"612","ENSG00000225457"
"613","ENSG00000225465"
"614","ENSG00000225472"
"615","ENSG00000225473"
"616","ENSG00000225488"
"617","ENSG00000225493"
"618","ENSG00000225497"
"619","ENSG00000225498"
"620","ENSG00000225519"
"621","ENSG00000225532"
"622","ENSG00000225535"
"623","ENSG00000225539"
"624","ENSG00000225542"
"625","ENSG00000225546"
"626","ENSG00000225548"
"627","ENSG00000225552"
"628","ENSG00000225564"
"629","ENSG00000225570"
"630","ENSG00000225572"
"631","ENSG00000225579"
"632","ENSG00000225588"
"633","ENSG00000225595"
"634","ENSG00000225606"
"635","ENSG00000225611"
"636","ENSG00000225613"
"637","ENSG00000225619"
"638","ENSG00000225626"
"639","ENSG00000225632"
"640","ENSG00000225637"
"641","ENSG00000225640"
"642","ENSG00000225652"
"643","ENSG00000225657"
"644","ENSG00000225683"
"645","ENSG00000225706"
"646","ENSG00000225718"
"647","ENSG00000225725"
"648","ENSG00000225731"
"649","ENSG00000225738"
"650","ENSG00000225742"
"651","ENSG00000225744"
"652","ENSG00000225746"
"653","ENSG00000225759"
"654","ENSG00000225764"
"655","ENSG00000225768"
"656","ENSG00000225785"
"657","ENSG00000225790"
"658","ENSG00000225791"
"659","ENSG00000225793"
"660","ENSG00000225806"
"661","ENSG00000225807"
"662","ENSG00000225811"
"663","ENSG00000225815"
"664","ENSG00000225818"
"665","ENSG00000225822"
"666","ENSG00000225826"
"667","ENSG00000225833"
"668","ENSG00000225855"
"669","ENSG00000225857"
"670","ENSG00000225870"
"671","ENSG00000225877"
"672","ENSG00000225879"
"673","ENSG00000225880"
"674","ENSG00000225884"
"675","ENSG00000225889"
"676","ENSG00000225903"
"677","ENSG00000225914"
"678","ENSG00000225924"
"679","ENSG00000225929"
"680","ENSG00000225930"
"681","ENSG00000225931"
"682","ENSG00000225936"
"683","ENSG00000225937"
"684","ENSG00000225942"
"685","ENSG00000225951"
"686","ENSG00000225953"
"687","ENSG00000225963"
"688","ENSG00000225964"
"689","ENSG00000225982"
"690","ENSG00000225988"
"691","ENSG00000226009"
"692","ENSG00000226017"
"693","ENSG00000226026"
