"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"RP11-379K17.4",0.120371549555508,0.0477366040794766,0.548101459833409,0.132435406726686,118848662.051292,3.54464218850601,3.42871471915611,553709.218703686,0.509991359386021,0.264401744474807,10.0236684643829,4.13220412839179,12.7738028425657,5.87478860714592
"RP1-39G22.7",0.927910081002494,1.00448498009802,1.25801361900679,0.988648199448597,2.00694607990532,0.971867636390754,0.814321698718892,1.48824521508842,0.744127256671814,0.919228009573652,1.02366856236456,0.966606228566457,1.36698711623676,1.28325470802953
"RNF139-AS1",0.610799957972186,1.12669196189987,1.20739047900034,0.855225818745648,15.9508747430811,2.14528374810227,1.32540017795689,1.73899771630215,0.994963729591416,0.982890661975058,1.86341442189003,0.743982213232409,0.907403335904083,1.54970141514098
"RP11-597D13.9",1.0274935171695,0.998391326600614,1.04663936520844,1.47450439348618,1.31045894872277,0.792204085847088,1.44603815209021,1.01192346861348,0.914131042282318,0.950289197341051,1.14374794227397,1.15185719760682,2.42920507151383,0.731023633057054
"LUCAT1",1.33714250483172,0.912234366871396,0.803962842537223,1.23189480806775,7.25607749238652,1.32982579751948,1.99088313235875,1.39020390344022,1.06442259924449,1.1587087817489,1.56163495864614,0.982991035994543,1.38470739402686,1.09206697697271
"RP11-834C11.4",1.02170584399282,0.984439953253579,1.28876333608647,1.076618972642,0.854148777807466,1.05002229336163,0.823360186857321,1.03070874723454,1.06780531544394,1.07186143901819,0.848339100182258,1.10804876639428,1.22629389267608,1.21066358219395
"LINC00641",1.12885313482553,0.993475700228654,0.937737471863838,0.900884488210671,2.01911649358849,1.02332620842366,0.947276836221968,1.13420768345397,0.929776091777136,1.03764073339397,2.88692685877883,1.03402509061665,1.50398275053444,1.16372071229791
"CASC2",1.09834548529384,0.894779251246052,0.894644480654641,0.87310256220817,1.13133815476674,0.61162722531117,0.700316895569576,2.08148379969453,0.783159619490536,1.18820196360836,0.945288085427117,0.887087338884418,2.25478047905864,0.75808712603776
"SH3BP5-AS1",0.722164971938092,0.729493144528925,1.07861614206123,0.684758983237901,3.60234460278151,1.22287043737278,0.883058087130409,1.12736799700078,0.801823743627114,1.01042946665736,1.66198367569211,0.959514957236652,1.22625494516239,0.816740867716513
"OTUD6B-AS1",0.917987797818349,1.49812641326518,1.05772395868342,1.20195724976716,3.72300387890266,0.622080778874623,1.43540949401528,1.40517072614808,1.12505027511872,0.986570348440416,1.58292439007324,1.00528083929627,1.29315554683153,1.3654458854809
"SNHG17",0.925153778682345,1.01310750306789,1.23099378507962,1.06093270387891,2.17223938297885,1.95143546262116,1.59880584567061,1.29521066404581,0.934450051759312,1.01899904730985,2.44131711811924,0.91729610898168,1.83108990198744,1.23272224381496
"PAX8-AS1",0.968792118789163,0.925071561983497,1.05572623927748,0.884397959514269,8.53293196073925,1.20283198001958,1.44313667221884,1.0369414852413,1.01960157137251,1.05093571576947,0.781889260703321,1.00772815132006,2.43585596311805,1.24553127744694
"TMPO-AS1",1.07557681202854,1.05204615704908,1.33799499921019,0.952844323720581,3.54063876258511,2.32397726882706,2.58358920266032,1.22130810495219,1.46544033234954,0.947529647718413,2.37269758206445,0.941361539109849,1.13300654508268,1.39635360940918
"AC016747.3",1.00908614342901,1.10645920814335,1.11862555839446,1.07801164427815,3.61817563379934,0.795606826845307,0.994670387864213,1.67612890873866,1.04974507676677,1.01792887811102,0.937016349246582,1.11082710287438,1.26358501073776,1.04895734402473
"RP11-383H13.1",1.24320295096121,1.15470910817031,1.07195946948701,1.21147601819572,4.90123092888657,0.947268071072079,1.34402542882111,1.442045772029,1.17146201743566,1.01962815642947,0.578835336759073,1.31076457007358,2.16092166881227,1.16831851236621
