"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"LINC01089",0.00544663950969553,0.395660465933083,0.0290054716737617,0.0149577946522093,0.572139022830839,2.24767690773797e-05,0.381603596307004,0.518494850744341,0.220762174721683,0.34838434818011,0.844194928240064,0.488227372189653,0.662821313238284,0.630028876978524
"FAM201A",0.806325047097356,0.358888378393145,0.0440900804935877,0.348462572781121,0.96537970306085,0.565629167669333,0.224833426256788,0.561460761861223,0.970185730323389,0.617931756784199,0.504663998949749,0.350407378183492,0.0630347887289479,0.396949713693695
"ADAMTS9-AS1",0.0567067086689745,0.173088919583334,0.378786876780711,0.675800491896581,0.568356769766879,3.91563820150682e-06,5.72582060249989e-06,0.568563640725668,0.204688322117609,0.0235030931599917,0.94338016513257,0.0128410069186868,0.868235007460532,0.203404607910212
"FGD5-AS1",0.612670970743854,0.37342784688985,0.333950156547672,0.516175417093645,0.114607822583629,0.0254959001705419,0.586335411254453,0.0556500577318084,0.293982567467068,0.256233303661122,0.371368372913385,0.934498194771765,0.684962121968349,0.511820136882705
"AC093627.10",0.692277770520633,0.700024320798464,0.543792639672735,0.0139608257637396,0.983397484089426,0.345609105635449,0.121788600619762,0.462703328311504,0.739781338781205,0.96428281065851,0.425347700365651,0.0565358144125536,0.694885303260222,0.0400976166667632
"FLJ46284",0.79488158354181,0.16497921671036,0.910593687728048,0.301858657097797,0.072837936128344,0.664786354344095,0.649469084161623,0.269113120203482,0.315401907438303,0.139575349440606,0.559751182871585,0.278440733890013,0.903798991635257,0.163379928219381
"MAGI2-AS3",0.122712317011608,0.949677847802191,0.90467130827442,0.562105413316226,0.525970089091331,0.0631529211984295,0.271803390950955,0.786822509418803,0.607479254202934,0.259846381809761,0.565879417592395,0.0209943253348357,0.546845324877443,0.691356241271403
"LL22NC03-86G7.1",0.828472166666881,0.473942255620135,0.552480439507619,0.852844540086163,0.859025295425105,0.222754838710704,0.37891052531051,0.0509712770203938,0.805560200208428,0.798479923230524,0.931586006080054,0.660714146398212,0.721090894328336,0.571834867479695
"RP11-37B2.1",0.0516410295182509,0.800848132506372,0.583569603206067,0.777366017260709,0.000302879477502392,0.000136971564885078,8.63310348231349e-05,0.0106826213355449,0.579088277314968,0.343567799907571,0.615700161369425,0.920910475067,0.220593676985557,0.100034557220622
"RP11-757G1.6",0.234096920787725,0.595011205574128,0.610971701896875,0.0903443362671726,0.95973387906977,0.438458750979617,0.416511168112575,0.588979653003289,0.106831079737416,0.728177176706918,0.549541126197976,0.807816496676909,0.633418027118628,0.0130578192411458
