"","TCGA-BLCA","TCGA-BRCA","TCGA-COAD","TCGA-HNSC","TCGA-KICH","TCGA-KIRC","TCGA-KIRP","TCGA-LIHC","TCGA-LUAD","TCGA-LUSC","TCGA-PRAD","TCGA-STAD","TCGA-THCA","TCGA-UCEC","maxTS","specific"
"ENSG00000266279.1",0.252563779755575,0.27785766127977,0.201423141855651,0.231854158523507,0.191773988209864,0.275198074588041,0.232980089156817,0.181044237913284,0.196829922036231,0.192710806127937,0.19618182394466,0.438564227898492,0.200313024725376,0.319351741149981,0.438564227898492,"TCGA-STAD"
"ENSG00000266767.1",0.244141141814292,0.197839962696448,0.204867043090288,0.17301019230196,0.174431354446336,0.464996283977845,0.280453728824459,0.186210178211846,0.234479527723508,0.176978146627288,0.204531536720766,0.189256547127906,0.374225323368279,0.228787062999564,0.464996283977845,"TCGA-KIRC"
"ENSG00000261346.1",0.247953304407911,0.260206680211098,0.225111582574267,0.203274317633959,0.178169755640423,0.309281488866622,0.332938214989019,0.207846126249086,0.253982220708417,0.225127477787627,0.222212425580391,0.339665986998143,0.191500380688143,0.241402748896531,0.339665986998143,"TCGA-STAD"
"ENSG00000250958.1",0.326484582811458,0.196218823514009,0.187909925598455,0.338074565584877,0.235541933684374,0.180880178908254,0.182726775871807,0.189297690224108,0.277612166068414,0.321970339444419,0.174853565343698,0.2474336474427,0.226489574769117,0.314765315048183,0.338074565584877,"TCGA-HNSC"
"ENSG00000236009.1",0.211523662596122,0.195849592412344,0.254180265411591,0.488352610747633,0.172458299342591,0.19350045856071,0.184959821762041,0.184006492020385,0.205514753253632,0.398481423781,0.18230222073672,0.246453597500496,0.178725261224732,0.211504649996781,0.488352610747633,"TCGA-HNSC"
"ENSG00000273344.1",0.25001389565334,0.253419641376288,0.257175946722571,0.21011474711243,0.281502798540301,0.235144926653503,0.276366997721773,0.229103412827239,0.238380967797719,0.246416481423471,0.278472078711739,0.233176064322141,0.255410664796087,0.249855345435984,0.281502798540301,"TCGA-KICH"
"ENSG00000278601.1",0.222855214884341,0.270160468182945,0.223635446799205,0.198659866879254,0.221118596382942,0.25746815806123,0.240779236811226,0.205243149262738,0.252376004253338,0.210148627959108,0.236241364606114,0.252428623248932,0.423591229946184,0.222942893790114,0.423591229946184,"TCGA-THCA"
"ENSG00000259701.1",0.33046866725595,0.216792689557544,0.296416762216,0.30854552982951,0.193635780001644,0.203680587611168,0.183785695449869,0.1846723641115,0.260102238435977,0.330173731122738,0.173499424039407,0.311813057647848,0.174673616932153,0.231658510990066,0.33046866725595,"TCGA-BLCA"
"ENSG00000236188.1",0.236258723462961,0.230324854373663,0.280420725208524,0.233193189137927,0.183871695664677,0.283051210342814,0.226162814527587,0.177612263908899,0.278101804566226,0.276584356902623,0.209798391838975,0.349237123294032,0.215054144537495,0.268660530197533,0.349237123294032,"TCGA-STAD"
"ENSG00000253420.1",0.257299562062552,0.260704107184176,0.295906085065402,0.206398380788834,0.178184882302274,0.281955639992347,0.285989100293337,0.200445430737152,0.381103344827738,0.214067613989733,0.177924508419587,0.268657532248518,0.181860584300247,0.226848645337098,0.381103344827738,"TCGA-LUAD"
"ENSG00000250170.1",0.235657949279285,0.249534684629812,0.374310666282102,0.187293120430574,0.179223119937538,0.236268726372337,0.181563342751113,0.17317225628743,0.366700264129853,0.198859283816174,0.209093405023548,0.32397959712523,0.179370567481167,0.279965279478191,0.374310666282102,"TCGA-COAD"
"ENSG00000238099.2",0.180694422634317,0.209841096829664,0.178474840572159,0.183122646789806,0.20717305238139,0.334076418266166,0.531110224460682,0.308231083076278,0.202151616008492,0.191252063173911,0.17639115054497,0.198008197069704,0.198211650143235,0.200092993962174,0.531110224460682,"TCGA-KIRP"
"ENSG00000273805.1",0.203979759431762,0.200755395505187,0.260080072109082,0.203347258446938,0.314985209054053,0.225982796588399,0.296181136302206,0.194098576546899,0.24201365265588,0.226268371132432,0.213445137934822,0.257727270765599,0.295989375243612,0.318426632526465,0.318426632526465,"TCGA-UCEC"
"ENSG00000249379.1",0.284182769925199,0.289911837031299,0.208237190900772,0.232627756953741,0.189289499134759,0.210643180623034,0.202134992219669,0.237174731547132,0.306592961407792,0.396211177927875,0.248281438150613,0.208932128943312,0.198660969933128,0.212575098653882,0.396211177927875,"TCGA-LUSC"
"ENSG00000225300.1",0.221938692922582,0.282384300066461,0.290393492008382,0.190942861386449,0.187435896711554,0.252412645786698,0.199349704892647,0.193694005444729,0.321408275517767,0.220032127094195,0.261328971434564,0.373940875001862,0.195878025975791,0.232927657360105,0.373940875001862,"TCGA-STAD"
"ENSG00000266830.1",0.391039104440849,0.220548196724401,0.178171027817068,0.186556156588327,0.18163844995415,0.175559654975959,0.181415579888441,0.27870762794337,0.305229868059865,0.274357978605353,0.181022944821157,0.221358970027262,0.209007036542938,0.376350465887341,0.391039104440849,"TCGA-BLCA"
"ENSG00000260141.1",0.263904739467741,0.239343510851635,0.217969385858351,0.233806847242259,0.321685560731397,0.259630022549118,0.224937391787733,0.245589617504822,0.231860304016156,0.252981521052476,0.196806415038171,0.331764978734404,0.195744033636427,0.249514238023222,0.331764978734404,"TCGA-STAD"
"ENSG00000275830.1",0.19317119474487,0.183251286772625,0.17488633771001,0.238152195774949,0.400555322748837,0.254733622316016,0.184017241413999,0.350578285159545,0.208068916793406,0.362906441006183,0.220158636209163,0.181578454158982,0.188055938127619,0.219320976648794,0.400555322748837,"TCGA-KICH"
"ENSG00000261432.1",0.187946515625717,0.242488542831152,0.308878210141106,0.185920471174419,0.480269641814542,0.239642663572124,0.183477322704623,0.173171398811265,0.217490948960546,0.196511654140664,0.276094034857163,0.234306726278818,0.224147053098246,0.215360709629879,0.480269641814542,"TCGA-KICH"
"ENSG00000228750.4",0.200378153844865,0.197760060726542,0.222698608920137,0.212213832350866,0.186052668216029,0.269797292474818,0.219716650042973,0.195924990434321,0.194521163247061,0.199141967758755,0.196021251529642,0.332555177236159,0.442183856254604,0.308243367190001,0.442183856254604,"TCGA-THCA"
"ENSG00000260669.2",0.259560377136555,0.251266999087722,0.232791009509573,0.238216066139227,0.235324811099737,0.25974177108327,0.26379507727385,0.203480558433089,0.254069195754857,0.265004352405537,0.261036646378417,0.26751423682436,0.259023414884814,0.245987466552455,0.26751423682436,"TCGA-STAD"
"ENSG00000244215.1",0.184355036470754,0.205978852115616,0.191943225350936,0.438306473066641,0.182806105819761,0.186473792217744,0.187112025512955,0.169960417051316,0.464536582030159,0.292521766740666,0.17593208509958,0.225379982483688,0.172784577447553,0.200480462977683,0.464536582030159,"TCGA-LUAD"
"ENSG00000237031.6",0.219584254617466,0.194396447914985,0.23598690071738,0.217739514102123,0.190474817274047,0.315659365098799,0.207600523307772,0.197415673685545,0.23626735477873,0.219620349104125,0.183943614887703,0.373811682599166,0.179222346114371,0.406700720812696,0.406700720812696,"TCGA-UCEC"
"ENSG00000226717.2",0.195804491995847,0.209152371729322,0.221249277348501,0.190022628244478,0.194390757256329,0.203362918668137,0.18428892507186,0.19514873479706,0.513993921573398,0.269062259128618,0.264139391644357,0.290301998254326,0.177030652785384,0.238339570926712,0.513993921573398,"TCGA-LUAD"
"ENSG00000271774.1",0.239781311524664,0.234392643689948,0.263425477971869,0.235348645157154,0.185549530227114,0.260402764027059,0.193630707932596,0.238618524382436,0.225183512205846,0.24607355667692,0.216978906512567,0.42789918766027,0.191687940610315,0.267031506934605,0.42789918766027,"TCGA-STAD"
"ENSG00000236497.1",0.177241541672548,0.207075716872473,0.194003507241612,0.181742292989806,0.322990352191009,0.324662830687502,0.224333076523026,0.455753332931055,0.239125077726509,0.184909754141546,0.207793365918218,0.237992401892384,0.172528704913982,0.226125997106928,0.455753332931055,"TCGA-LIHC"
"ENSG00000228590.1",0.260087524596063,0.252347091938952,0.230903322316768,0.315815738306248,0.172844123963445,0.199561743115544,0.197896886224081,0.182047488450976,0.243875766822061,0.3678907250042,0.233756085808818,0.268285603724923,0.228139128424036,0.277842852538616,0.3678907250042,"TCGA-LUSC"
"ENSG00000272426.1",0.274475044634208,0.242472662940886,0.237210212806029,0.21229457132098,0.235165177544689,0.238691400687038,0.246425074259849,0.229588121029919,0.250290558637849,0.24085603577191,0.278444453157489,0.248623950852121,0.262679383779663,0.295800529282156,0.295800529282156,"TCGA-UCEC"
"ENSG00000265688.1",0.259773434130638,0.290680487534299,0.261494723933213,0.232941264391451,0.196148238420017,0.201541788965979,0.270623299036521,0.216714165162714,0.271380021209751,0.288918832959186,0.232163198756564,0.243825868919148,0.234738965672306,0.278471510946865,0.290680487534299,"TCGA-BRCA"
"ENSG00000214708.4",0.209707641481554,0.261647889122763,0.217897115600792,0.189503199629661,0.281418182913061,0.207566020144179,0.268895348109273,0.207148851672096,0.337986122803183,0.214932449646433,0.277491597480855,0.221951736545057,0.314954577450534,0.241889563689036,0.337986122803183,"TCGA-LUAD"
"ENSG00000259201.1",0.261059200313923,0.244191180283517,0.304055168743112,0.206778055493415,0.188522650477341,0.268232908601919,0.196961590360628,0.188557502646524,0.325514876355403,0.241332795971619,0.21203637633468,0.359411494600916,0.200773867217163,0.233545014307421,0.359411494600916,"TCGA-STAD"
"ENSG00000260698.1",0.261145407951283,0.260647921520892,0.235724701398882,0.232252316051388,0.208486447816769,0.256339537892774,0.234658130185575,0.248807613911092,0.269940156647769,0.253962889765888,0.241086950314544,0.281886063045209,0.224179264106706,0.283756553275574,0.283756553275574,"TCGA-UCEC"
"ENSG00000238142.1",0.265198029249292,0.229473387952915,0.244794932690572,0.210772415488164,0.236899511743911,0.245141047817737,0.265215481232123,0.29607707695604,0.287042803142082,0.249849516929653,0.205601354338869,0.258801854310451,0.273448417158193,0.216810025016265,0.29607707695604,"TCGA-LIHC"
"ENSG00000261826.1",0.201418271566696,0.274376438795165,0.313577175793285,0.202503311634999,0.189891291530682,0.248732387061003,0.190309254981022,0.175704152882657,0.253783026615222,0.238710266683456,0.203132877083534,0.403263182224681,0.184994347477508,0.315392010355613,0.403263182224681,"TCGA-STAD"
"ENSG00000188660.3",0.268260393239341,0.217744537584938,0.211237444735296,0.285496532422961,0.18033350309928,0.189014512536493,0.191720140859317,0.253304080575307,0.32556228646933,0.280318656623506,0.195450954048538,0.397473096281512,0.179806427643425,0.225874570452923,0.397473096281512,"TCGA-STAD"
"ENSG00000229278.1",0.295593238521182,0.223516098822883,0.19908235616056,0.268574578815765,0.199006538010645,0.208051583875975,0.258033317179441,0.292809108077235,0.236609319270747,0.328567820912316,0.273439879048555,0.236246086416349,0.190784751572122,0.248752107317748,0.328567820912316,"TCGA-LUSC"
"ENSG00000221949.5",0.227022591662768,0.231254264372896,0.227677336612741,0.232222734907082,0.283646576503401,0.253445234918469,0.266169259325924,0.237511767442824,0.244258930001018,0.244836874277899,0.240901660862395,0.234522092810128,0.322186373831522,0.24293270928895,0.322186373831522,"TCGA-THCA"
"ENSG00000269019.1",0.27082095764846,0.240707428357736,0.191789037620721,0.266080047554604,0.249667180561453,0.30268696192306,0.314203254086382,0.20703665016828,0.22337514762146,0.259533476275242,0.204220341169306,0.220404673894669,0.278036009212665,0.240714203042803,0.314203254086382,"TCGA-KIRP"
"ENSG00000268416.1",0.347605903065322,0.247023438716875,0.169415903424981,0.1723751361676,0.225639690294301,0.172834142806895,0.179892515073543,0.167816598088881,0.256562373881529,0.189894941818205,0.363713183232422,0.178375874699414,0.419444848963048,0.231810030251529,0.419444848963048,"TCGA-THCA"
