"","TCGA-BLCA","TCGA-BRCA","TCGA-COAD","TCGA-HNSC","TCGA-KICH","TCGA-KIRC","TCGA-KIRP","TCGA-LIHC","TCGA-LUAD","TCGA-LUSC","TCGA-PRAD","TCGA-STAD","TCGA-THCA","TCGA-UCEC","maxTS","specific"
"ENSG00000224660.1",0.267593315298889,0.262626585209931,0.218274251708412,0.20242479010791,0.211871680314809,0.266654849839414,0.266079646000404,0.215694004182806,0.281174358761422,0.235709108811464,0.242220814682811,0.24699880634803,0.288210325844547,0.27809430695574,0.288210325844547,"TCGA-THCA"
"ENSG00000253738.1",0.238401434698722,0.260994750896308,0.247452696432843,0.226981161645389,0.305523958414948,0.255075399785117,0.238628715667985,0.235574011304677,0.248163399076609,0.243164369552734,0.250838907746033,0.256166318885498,0.261873773594601,0.226836628156122,0.305523958414948,"TCGA-KICH"
"ENSG00000196756.10",0.275928902645507,0.242312358346058,0.312047670915708,0.247933645024669,0.223933574352902,0.21802421233474,0.228231049475991,0.222136042287252,0.24084935626488,0.275554858035437,0.248632903162047,0.256324650667339,0.21790181078261,0.275785544352739,0.312047670915708,"TCGA-COAD"
"ENSG00000189223.12",0.293092483466619,0.233793501494132,0.290729299883993,0.280980903845643,0.189765659059537,0.23539608449511,0.215285848424746,0.218899998823567,0.269192545195414,0.288129031358824,0.215321690186856,0.287788331072662,0.218732864529296,0.234174010680844,0.293092483466619,"TCGA-BLCA"
"ENSG00000257167.2",0.279873210901248,0.249694761935214,0.253746207342916,0.26673612811902,0.248233408600725,0.220516410051257,0.222415353712371,0.259044614402892,0.23758208075686,0.281843856416114,0.210256721432158,0.273584306521949,0.209664294101253,0.274599484582322,0.281843856416114,"TCGA-LUSC"
"ENSG00000212978.6",0.217117151225749,0.252193890333695,0.185118646230559,0.231576379679579,0.22308750625927,0.299555630950672,0.321892359549297,0.258609560707356,0.266817475320167,0.248302124913462,0.257375528714872,0.221243175359959,0.278297749875048,0.207562494589634,0.321892359549297,"TCGA-KIRP"
"ENSG00000235531.8",0.235525711391402,0.234746866985021,0.209138080742477,0.270351502345677,0.205275186203184,0.394115165486547,0.315337661418823,0.224914346901286,0.225395595208328,0.295579451520679,0.202041063078087,0.229795033073461,0.189481361593061,0.194838040288537,0.394115165486547,"TCGA-KIRC"
"ENSG00000241684.4",0.187977371550742,0.202875502779613,0.188107205685307,0.176188702271352,0.196300369924102,0.44761682890877,0.329690958049763,0.180859089232153,0.230245064510293,0.186181962542843,0.254639480265377,0.229323563343202,0.33742260983806,0.205160928259529,0.44761682890877,"TCGA-KIRC"
"ENSG00000236901.4",0.228182600845735,0.272621897242401,0.235154371532994,0.223977088593493,0.307747430571227,0.225986131567315,0.251694536023798,0.208453840627148,0.247819276820022,0.266598825480602,0.233884435736908,0.230345998353512,0.289412346308721,0.26325300340215,0.307747430571227,"TCGA-KICH"
"ENSG00000244879.4",0.251847314051915,0.256954692224533,0.260450130538717,0.216059109066931,0.213678107782506,0.256416106546871,0.265318058407993,0.214666128416373,0.262311221895348,0.25942679142868,0.279396732864856,0.246799684222693,0.252270748447872,0.258427511648851,0.279396732864856,"TCGA-PRAD"
"ENSG00000223482.6",0.257307923755929,0.257236671641455,0.253815367367914,0.248072616760299,0.235638536337551,0.246956749543255,0.247698475531224,0.229027227644579,0.255558476715569,0.259623956777081,0.248714009759815,0.277592862051337,0.242760393716559,0.241699104350623,0.277592862051337,"TCGA-STAD"
"ENSG00000260032.1",0.253587475686793,0.270528643597406,0.261520484121525,0.231403283138174,0.27752138291712,0.247309969280384,0.261832912376019,0.215042997248645,0.247249349045431,0.244073223553528,0.249223683466427,0.244880670063222,0.262363309957168,0.231349144790987,0.27752138291712,"TCGA-KICH"
"ENSG00000259976.1",0.200223579286339,0.228840173915935,0.198178431456447,0.188968657370395,0.259469418607799,0.305885088560162,0.370459931385448,0.24583419213618,0.227571052444051,0.195978135009117,0.279658065599812,0.221954067228157,0.296466580281584,0.216964395972658,0.370459931385448,"TCGA-KIRP"
"ENSG00000235703.4",0.254000779819431,0.254687722909295,0.262762373739736,0.201954391531938,0.237406382079662,0.266009282489455,0.28787762922517,0.211489443833787,0.269704561013624,0.247463002563943,0.251195006630951,0.241417679050748,0.266122172934559,0.239123772896725,0.28787762922517,"TCGA-KIRP"
"ENSG00000233016.5",0.245448035971536,0.234257433993428,0.25659623520076,0.223212231593529,0.270463018966569,0.234611499553887,0.22366196554709,0.230513759734493,0.237214829854891,0.230065842853177,0.293553674934036,0.230596029274202,0.309536078286315,0.267312525783439,0.309536078286315,"TCGA-THCA"
